id,vecops-unary-u1-cosh,vecops-unary-u2-cosh,vecops-unary-u4-cosh
0,0.416,0.468,0.458
1,0.429,0.429,0.429
2,1.242,1.164,1.082
3,8.191,7.824,7.904
4,80.214,79.759,78.189
5,820.867,936.577,862.053
6,7720.451,7845.84,7700.35
7,81776.97,84698.318,78183.113
8,781606.094,769142.719,755599.344
