id,vecops-unary-u1-exp10,vecops-unary-u2-exp10,vecops-unary-u4-exp10
0,0.391,0.412,0.39
1,0.508,0.514,0.519
2,1.924,1.98,1.909
3,18.288,16.638,16.206
4,171.213,177.53,165.098
5,1668.889,1637.853,1601.762
6,16149.627,16478.985,18281.335
7,197050.739,209593.422,209489.765
8,1614653.097,1614424.63,1627879.475
