id,vecops-binary-u1-div,vecops-binary-u2-div,vecops-binary-u4-div
0,0.334,0.327,0.331
1,0.376,0.368,0.347
2,0.614,0.547,0.514
3,3.371,2.658,3.789
4,30.931,24.059,19.205
5,380.275,331.667,272.092
6,4253.828,3318.457,2487.532
7,39985.762,28181.22,26023.148
8,448038.5,360230.7,307139.6
