id,vecops-unary-u1-ceil,vecops-unary-u2-ceil,vecops-unary-u4-ceil
0,0.313,0.318,0.341
1,0.35,0.347,0.339
2,0.595,0.644,0.575
3,2.957,2.973,2.608
4,30.103,21.454,19.006
5,449.429,297.961,245.008
6,4096.455,2395.828,2424.265
7,38346.284,25720.514,22567.158
8,389406.997,250804.406,225714.574
