id,vecops-unary-u1-ge,vecops-unary-u2-ge,vecops-unary-u4-ge
0,0.345,0.327,0.322
1,0.462,0.413,0.453
2,0.72,0.556,0.474
3,4.218,2.604,1.933
4,43.233,33.221,34.268
5,557.453,422.037,339.282
6,6403.63,4889.578,4213.865
7,58499.736,44721.041,36421.826
8,591165.849,445154.037,359334.201
