id,vecops-unary-u1-lt,vecops-unary-u2-lt,vecops-unary-u4-lt
0,0.322,0.318,0.321
1,0.363,0.364,0.366
2,0.571,0.453,0.443
3,4.205,2.771,2.103
4,43.555,34.243,27.738
5,551.048,425.419,339.906
6,6142.289,4646.378,4044.366
7,59247.499,43978.089,35365.193
8,586786.9,433668.9,350468.4
