id,vecops-unary-u1-outside_oo,vecops-unary-u2-outside_oo,vecops-unary-u4-outside_oo
0,0.309,0.316,0.32
1,0.366,0.363,0.364
2,0.756,0.629,0.69
3,5.382,3.927,3.091
4,49.732,40.069,32.503
5,541.454,505.775,378.344
6,6476.187,5021.19,3819.216
7,61265.629,48641.869,43002.393
8,636065.2,494198.2,435726.0
