id,vecops-unary-u1-invert,vecops-unary-u2-invert,vecops-unary-u4-invert
0,0.339,0.338,0.342
1,0.321,0.314,0.347
2,0.549,0.575,0.5
3,2.554,1.912,1.694
4,23.023,16.461,14.117
5,357.818,182.411,157.887
6,3866.845,2523.313,2141.429
7,37370.17,23804.455,21832.575
8,379706.639,242025.978,215173.64
