id,vecops-unary-u1-le,vecops-unary-u2-le,vecops-unary-u4-le
0,0.319,0.319,0.326
1,0.359,0.371,0.361
2,0.639,0.455,0.441
3,4.237,2.548,2.195
4,43.139,32.979,27.853
5,555.173,415.845,336.289
6,6134.901,5230.524,4437.93
7,58815.073,43721.708,35337.727
8,580478.8,433881.0,357365.7
