id,vecops-unary-u1-inside_oc,vecops-unary-u2-inside_oc,vecops-unary-u4-inside_oc
0,0.313,0.305,0.313
1,0.369,0.364,0.403
2,0.729,0.599,0.514
3,4.569,3.908,2.232
4,46.233,40.21,29.007
5,557.896,442.974,345.357
6,6202.806,5083.071,4324.136
7,60596.525,44932.5,35141.096
8,611326.9,452145.9,376922.8
