id,vecops-binary-u1-hypot,vecops-binary-u2-hypot,vecops-binary-u4-hypot
0,0.359,0.354,0.376
1,0.52,0.5,0.491
2,2.027,1.922,1.743
3,21.954,17.329,14.821
4,228.532,200.646,182.434
5,2293.631,2063.246,1926.649
6,23244.222,21293.559,19516.816
7,230620.485,211378.021,195604.972
8,2322664.1,2130564.3,2015389.5
