id,vecops-unary-u1-fmod,vecops-unary-u2-fmod,vecops-unary-u4-fmod
0,0.35,0.336,0.335
1,0.418,0.521,0.55
2,1.085,0.936,0.885
3,6.835,6.259,5.891
4,74.077,66.602,60.285
5,754.087,658.531,655.479
6,9802.704,8637.619,8720.658
7,79150.631,70955.942,67144.048
8,774849.099,692069.894,650216.551
