id,vecops-unary-u1-reciprocal,vecops-unary-u2-reciprocal,vecops-unary-u4-reciprocal
0,0.398,0.431,0.39
1,0.614,0.312,0.311
2,0.719,0.603,0.533
3,3.997,3.188,2.592
4,30.991,22.288,15.174
5,390.243,288.621,229.932
6,3809.035,2288.919,1888.985
7,38454.187,26230.161,21310.457
8,377717.914,240067.456,207901.208
