id,vecops-binary-u1-xor,vecops-binary-u2-xor,vecops-binary-u4-xor
0,0.318,0.315,0.323
1,0.456,0.347,0.389
2,0.78,0.645,0.588
3,4.471,3.027,2.772
4,37.239,31.748,24.121
5,442.424,327.316,274.529
6,4326.626,3384.162,2782.174
7,39769.175,31583.735,27735.799
8,392002.8,300421.8,278982.8
