id,vecops-binary-u1-lt,vecops-binary-u2-lt,vecops-binary-u4-lt
0,0.334,0.332,0.335
1,0.39,0.367,0.376
2,0.556,0.506,0.493
3,3.724,2.813,2.279
4,66.425,49.418,37.915
5,917.452,724.379,596.542
6,10063.813,8113.334,6662.478
7,101296.161,81954.698,67866.423
8,1015776.7,824621.2,760753.6
