id,vecops-unary-u1-exp2,vecops-unary-u2-exp2,vecops-unary-u4-exp2
0,0.371,0.372,0.38
1,0.465,0.509,0.489
2,1.863,1.439,1.473
3,11.784,15.169,14.914
4,122.409,119.105,117.064
5,1133.366,1185.091,1159.734
6,12535.327,14714.789,14405.696
7,147226.243,147625.428,131936.908
8,1144583.882,1176817.059,1188162.488
