id,vecops-unary-u1-gt,vecops-unary-u2-gt,vecops-unary-u4-gt
0,0.325,0.319,0.322
1,0.421,0.357,0.359
2,0.566,0.45,0.454
3,4.227,2.629,1.957
4,45.182,33.014,25.471
5,564.002,417.398,351.951
6,7332.508,5091.206,3633.923
7,58467.82,43308.488,37751.785
8,592081.408,443022.423,373221.823
