id,reduce-base-6-argmin,reduce-special-6-argmin,reduce-unroll4-6-argmin
0,0.546,0.595,0.613
1,1.978,1.682,2.014
2,7.147,5.4,6.091
3,38.334,28.603,29.508
4,368.38,249.464,250.417
5,3668.493,2428.149,2426.619
6,36880.18,24128.24,24287.35
