id,reduce-base-7-sum,reduce-special-7-sum,reduce-unroll4-7-sum
0,0.569,0.53,0.552
1,2.282,1.713,1.994
2,10.038,7.854,7.821
3,58.229,48.428,41.146
4,483.678,383.231,336.875
5,4678.246,3731.87,3308.073
6,46386.96,36796.74,32788.73
