id,reduce-base-4-max,reduce-special-4-max,reduce-unroll4-4-max
0,0.582,0.502,0.616
1,1.476,0.972,1.421
2,5.007,2.716,2.863
3,32.787,13.517,10.436
4,276.02,118.576,88.049
5,2742.992,878.925,859.922
6,28119.46,9140.27,8567.68
