id,reduce-base-5-argmax,reduce-special-5-argmax,reduce-unroll4-5-argmax
0,0.553,0.569,0.65
1,1.831,1.502,1.782
2,6.934,5.203,4.999
3,35.481,25.422,24.117
4,335.489,227.154,209.662
5,3318.718,2208.316,1972.596
6,32652.64,21981.69,19508.3
