id,reduce-base-6-min,reduce-special-6-min,reduce-unroll4-6-min
0,0.526,0.551,0.608
1,1.801,1.776,1.543
2,7.72,4.304,4.06
3,39.457,20.344,18.945
4,377.034,179.498,197.899
5,3735.265,1751.235,1759.795
6,37401.71,17477.07,15704.34
