id,reduce-base-7-argmax,reduce-special-7-argmax,reduce-unroll4-7-argmax
0,0.591,0.639,0.57
1,1.627,1.758,1.724
2,7.135,6.321,5.402
3,43.563,28.98,33.21
4,406.277,269.425,282.648
5,4062.299,2661.444,2753.859
6,40919.43,26466.53,27663.34
