id,reduce-base-6-mean,reduce-special-6-mean,reduce-unroll4-6-mean
0,0.572,0.825,0.599
1,2.402,1.48,1.799
2,10.764,7.925,7.016
3,71.353,38.633,36.582
4,603.476,349.457,316.399
5,5954.333,3450.732,3114.158
6,48933.31,34346.01,32581.58
