id,reduce-base-1-max,reduce-special-1-max,reduce-unroll4-1-max
0,0.681,0.401,0.589
1,1.12,1.021,1.301
2,2.412,1.437,1.213
3,10.776,3.853,2.249
4,72.017,22.739,8.408
5,500.452,200.009,77.78
6,4795.08,3040.46,1233.84
