id,reduce-base-3-sum,reduce-special-3-sum,reduce-unroll4-3-sum
0,0.608,0.699,0.619
1,1.521,1.06,1.394
2,5.835,4.665,4.962
3,31.748,25.918,24.506
4,308.838,224.937,208.158
5,2977.882,2193.399,2057.792
6,29636.41,21916.17,20199.61
