id,reduce-base-2-argmax,reduce-special-2-argmax,reduce-unroll4-2-argmax
0,0.632,0.544,0.565
1,1.356,1.396,1.501
2,3.029,3.13,3.432
3,17.446,14.515,14.02
4,161.643,124.639,119.611
5,1523.7,1216.948,1169.992
6,14634.88,12557.68,11700.8
