id,reduce-base-5-sum,reduce-special-5-sum,reduce-unroll4-5-sum
0,0.532,0.542,0.575
1,1.798,1.462,1.684
2,8.616,6.277,5.647
3,45.098,33.711,30.721
4,402.781,308.464,262.84
5,3841.722,2917.953,2633.389
6,38394.31,29023.44,25566.56
