id,reduce-base-8-sum,reduce-special-8-sum,reduce-unroll4-8-sum
0,0.632,0.648,0.649
1,2.346,1.958,1.983
2,10.168,8.378,8.457
3,64.28,46.349,45.025
4,514.936,433.675,391.007
5,5059.089,4105.888,3699.273
6,50272.66,40917.61,36711.08
