id,reduce-base-4-stddev,reduce-special-4-stddev,reduce-unroll4-4-stddev
0,0.572,0.53,0.71
1,2.551,1.966,2.201
2,14.077,8.761,11.284
3,78.612,45.423,56.203
4,628.231,406.376,496.016
5,6208.427,3989.142,4821.245
6,61735.58,39776.62,50684.88
