id,reduce-base-7-argmin,reduce-special-7-argmin,reduce-unroll4-7-argmin
0,0.644,0.581,0.691
1,1.942,1.914,2.025
2,8.034,6.062,6.714
3,41.819,32.938,30.864
4,405.644,277.82,287.79
5,4060.214,2687.515,2776.182
6,40696.28,26657.56,27500.53
