id,reduce-base-3-stddev,reduce-special-3-stddev,reduce-unroll4-3-stddev
0,0.671,0.648,0.882
1,1.776,1.95,1.565
2,11.834,7.722,6.781
3,64.919,51.799,45.931
4,588.757,340.946,410.404
5,5357.066,3257.927,3893.783
6,53254.78,32723.05,40506.36
