id,reduce-base-1-variance,reduce-special-1-variance,reduce-unroll4-1-variance
0,0.575,0.559,0.522
1,1.644,1.237,1.212
2,6.985,1.374,1.158
3,34.565,3.692,2.083
4,246.753,19.947,10.442
5,1951.733,203.598,150.265
6,18973.87,2856.93,2113.38
