id,reduce-base-8-max,reduce-special-8-max,reduce-unroll4-8-max
0,0.588,0.542,0.587
1,1.994,1.583,1.491
2,7.216,5.988,4.2
3,49.961,30.2,22.262
4,478.299,236.405,205.963
5,4661.746,2299.739,1993.319
6,47227.17,22926.45,19894.88
