id,reduce-base-2-sumsquared,reduce-special-2-sumsquared,reduce-unroll4-2-sumsquared
0,0.619,0.59,0.538
1,1.541,1.449,1.343
2,7.509,4.483,4.365
3,36.296,20.325,21.689
4,282.27,181.712,172.454
5,2727.821,1809.527,1653.891
6,27159.78,18398.17,16545.03
