id,reduce-base-1-sumsquared,reduce-special-1-sumsquared,reduce-unroll4-1-sumsquared
0,0.552,0.573,0.528
1,1.35,1.296,0.983
2,4.315,1.542,1.059
3,23.44,3.841,2.937
4,160.652,23.899,12.971
5,1429.31,223.675,123.51
6,14159.15,3039.33,1422.11
