id,reduce-base-4-sum,reduce-special-4-sum,reduce-unroll4-4-sum
0,0.539,0.482,0.535
1,1.768,1.617,1.751
2,7.723,5.65,5.014
3,42.223,27.683,26.869
4,367.655,263.452,251.158
5,3399.154,2596.143,2435.314
6,33818.84,25483.12,23993.73
