id,reduce-base-2-variance,reduce-special-2-variance,reduce-unroll4-2-variance
0,0.559,0.597,0.638
1,1.801,1.713,1.601
2,7.416,5.259,5.719
3,46.389,27.076,30.295
4,391.609,233.621,240.338
5,3094.574,2475.959,2337.994
6,30749.52,25679.93,23054.26
