id,reduce-base-4-sumsquared,reduce-special-4-sumsquared,reduce-unroll4-4-sumsquared
0,0.595,0.632,0.601
1,2.035,1.756,1.601
2,10.05,6.725,5.942
3,56.984,33.633,35.869
4,470.084,322.923,316.473
5,4465.477,3202.717,3094.797
6,44365.32,31915.05,30736.74
