id,reduce-base-6-argmax,reduce-special-6-argmax,reduce-unroll4-6-argmax
0,0.558,0.662,0.569
1,1.799,1.556,1.59
2,7.58,5.251,5.346
3,38.789,26.504,28.578
4,375.156,246.804,248.957
5,3637.61,2428.099,2448.243
6,36633.36,24199.63,24161.96
