id,reduce-base-2-stddev,reduce-special-2-stddev,reduce-unroll4-2-stddev
0,0.601,0.542,0.559
1,1.879,1.554,1.788
2,8.188,6.999,7.024
3,49.653,34.675,40.259
4,432.552,266.727,320.103
5,3863.123,2387.374,2832.646
6,38362.06,23727.16,26590.82
