id,reduce-base-6-stddev,reduce-special-6-stddev,reduce-unroll4-6-stddev
0,0.58,0.579,0.796
1,2.615,2.496,2.8
2,15.485,10.742,11.981
3,84.51,73.851,75.655
4,816.963,609.787,639.836
5,7881.625,5917.482,6142.563
6,78202.86,58571.02,58688.01
