id,reduce-base-4-variance,reduce-special-4-variance,reduce-unroll4-4-variance
0,0.611,0.658,0.593
1,2.098,2.012,1.991
2,11.187,8.334,10.742
3,69.547,47.292,52.108
4,542.359,406.952,476.521
5,5200.476,3948.715,4454.114
6,51818.97,39012.88,44701.35
