id,reduce-base-7-max,reduce-special-7-max,reduce-unroll4-7-max
0,0.532,0.524,0.551
1,1.659,1.542,1.394
2,7.258,4.766,4.33
3,43.734,23.863,19.687
4,416.02,208.29,183.295
5,4102.437,2033.984,1779.844
6,40778.98,20096.01,17873.63
