id,unordered-single-row.threads-1,unordered-single-row.threads1,unordered-single-row.threads2,unordered-single-row.threads3,unordered-single-row.threads4,unordered-single-row.threads5,unordered-single-row.threads6,unordered-single-row.threads7,unordered-single-row.threads8,unordered-single-row.threads9,unordered-single-row.threads10,unordered-single-row.threads11,unordered-single-row.threads12,unordered-single-row.threads13,unordered-single-row.threads14,unordered-single-row.threads15,unordered-single-row.threads16
0,101895.0,114640.0,102611.0,110955.0,134810.0,120016.0,121307.0,103751.0,120608.0,122402.0,122912.0,122009.0,117831.0,123000.0,125816.0,131096.0,123145.0
1,9887.0,14844.0,15613.0,16416.0,17248.0,18394.0,10799.0,15435.0,13619.0,17915.0,16141.0,12572.0,13939.0,17455.0,18884.0,19848.0,16777.0
2,731.5,1586.4,1246.5,1409.2,1404.1,1549.7,1904.3,1883.3,1784.8,1690.1,1887.1,1848.3,2075.4,2602.6,2270.6,2156.1,3752.0
3,64.14,251.65,224.71,231.59,249.03,276.11,338.35,421.84,475.71,556.16,622.68,585.48,654.33,762.68,654.03,805.28,928.69
4,8.204,125.775,107.397,129.879,148.076,167.602,241.657,304.492,361.182,390.239,450.466,488.652,536.561,621.538,664.373,775.531,853.481
5,2.629,132.123,125.436,128.0,158.99,172.623,240.521,303.834,356.464,409.582,470.911,512.775,521.201,633.798,721.298,777.81,835.207
6,2.182,108.833,103.265,105.975,135.478,155.554,220.419,291.266,353.407,359.977,404.224,495.024,598.758,634.627,704.165,773.092,846.04
7,1.585,114.922,114.248,116.252,147.018,159.028,220.198,275.526,355.538,398.569,454.389,475.278,580.091,659.76,679.933,788.052,842.558
