id,unordered-single-column.threads-1,unordered-single-column.threads1,unordered-single-column.threads2,unordered-single-column.threads3,unordered-single-column.threads4,unordered-single-column.threads5,unordered-single-column.threads6,unordered-single-column.threads7,unordered-single-column.threads8,unordered-single-column.threads9,unordered-single-column.threads10,unordered-single-column.threads11,unordered-single-column.threads12,unordered-single-column.threads13,unordered-single-column.threads14,unordered-single-column.threads15,unordered-single-column.threads16
0,1.585,114.922,114.248,116.252,147.018,159.028,220.198,275.526,355.538,398.569,454.389,475.278,580.091,659.76,679.933,788.052,842.558
1,2.087,202.727,208.804,198.846,213.989,190.716,273.896,351.724,447.275,505.863,603.798,686.398,690.35,862.047,971.277,1035.221,1139.809
2,7.4,1201.713,992.848,966.992,453.814,332.429,437.658,445.204,539.428,582.439,660.532,919.831,925.809,1023.755,1213.518,1383.769,1317.566
3,49.73,8754.651,8695.217,9344.834,3311.345,2860.028,2117.729,2140.024,1777.277,2170.879,2574.248,2946.873,3231.855,3638.348,3816.616,4288.637,4537.01
4,504.32,71511.26,79029.7,71870.09,31609.49,23870.15,19113.31,16248.07,15025.29,18045.96,20786.36,22144.74,23414.01,24173.98,24471.92,24962.5,26575.77
5,5116.5,796528.2,803637.7,824411.6,319154.8,233572.1,185835.9,159853.0,149770.8,178770.4,197002.6,202331.6,215794.1,213987.1,218097.1,227911.5,230319.7
6,50486.0,7481104.0,8438708.0,7078480.0,3303860.0,2265157.0,1874975.0,1658812.0,1773648.0,1979959.0,1976987.0,2061983.0,2145466.0,2109452.0,2180898.0,2213817.0,2270722.0
7,472798.0,76645195.0,78340247.0,79020406.0,32892591.0,23399926.0,19275267.0,16231107.0,15071460.0,17762699.0,22748370.0,20808739.0,21337722.0,21617962.0,24786297.0,21947363.0,22476374.0
