id,ppm-shot-text-unordered,ppm-shot-text-sequential
0,5292919.3,5002478.2
1,5863781.9,5933193.9
2,5949443.5,5870099.8
3,5939806.6,5910734.2
4,5823196.2,7602383.7
5,5904393.5,7118634.0
6,6442872.0,6823486.3
7,6116032.8,6714135.5
8,6079937.7,6640323.6
9,6003837.4,6491252.3
10,6845664.1,6354815.8
11,6555223.7,6337337.0
12,6127992.4,6504946.1
13,6162363.5,6267018.8
14,6084435.5,6298464.9
15,6129325.6,6233082.3
16,6064811.5,6252953.4
