id,ppm-iter-text-sequential,ppm-shot-text-sequential
0,995.648,5002478.2
1,11866.818,5933193.9
2,11961.176,5870099.8
3,11778.626,5910734.2
4,5139.93,7602383.7
5,3691.583,7118634.0
6,3171.872,6823486.3
7,2971.265,6714135.5
8,2957.233,6640323.6
9,3729.895,6491252.3
10,3563.506,6354815.8
11,3647.742,6337337.0
12,3753.052,6504946.1
13,3823.31,6267018.8
14,3775.203,6298464.9
15,3887.085,6233082.3
16,4066.144,6252953.4
