id,ppm-iter-binary-sequential,ppm-shot-binary-sequential
0,4535.317,4708.798
1,19238.995,18960.438
2,19136.506,18896.999
3,20299.751,18826.923
4,8471.397,8587.461
5,5838.892,5920.489
6,4658.29,5337.825
7,4176.969,4315.853
8,4129.315,4467.138
9,5228.659,5279.495
10,5268.318,5397.644
11,5717.016,5634.059
12,5947.073,5748.909
13,6009.421,5825.086
14,6304.126,5840.635
15,6094.484,5896.779
16,5955.103,6097.531
