id,ppm-iter-text-unordered,ppm-iter-text-sequential
0,1173.626,995.648
1,3758.02,11866.818
2,3687.698,11961.176
3,3693.626,11778.626
4,2232.061,5139.93
5,1753.362,3691.583
6,1667.485,3171.872
7,1543.941,2971.265
8,1533.368,2957.233
9,1761.354,3729.895
10,2105.139,3563.506
11,2422.793,3647.742
12,2829.995,3753.052
13,3233.05,3823.31
14,3631.991,3775.203
15,3987.584,3887.085
16,4614.677,4066.144
