id,ppm-shot-binary-unordered,ppm-shot-binary-sequential
0,6034.873,4708.798
1,11589.277,18960.438
2,11532.887,18896.999
3,11680.693,18826.923
4,4112.194,8587.461
5,3642.181,5920.489
6,3218.586,5337.825
7,2946.284,4315.853
8,2647.19,4467.138
9,3142.483,5279.495
10,3314.967,5397.644
11,4200.221,5634.059
12,4596.55,5748.909
13,5025.561,5825.086
14,5124.471,5840.635
15,5452.046,5896.779
16,5770.29,6097.531
